SOURCE,SOURCE_BRO,TARGET,TARGET_BRO,MODE,EPOCHS,ITER,SIZE,seconds,sourcecpu,sourcemem,targetcpu,targetmem
10.0.0.1,False,10.0.0.2,False,par,100,100,4,1.0,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.98,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.93,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.96,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.84,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.81,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.84,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.81,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.84,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.83,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.82,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.8,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.84,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.82,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.85,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.83,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.83,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.82,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.82,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.81,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.83,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.83,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.82,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.82,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.83,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.83,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.84,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.85,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.82,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.81,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.84,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.81,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.83,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.82,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.83,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.83,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.84,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.82,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.83,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.84,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.83,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.84,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.84,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.81,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.84,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.81,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.83,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.83,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.82,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.82,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.81,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.83,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.84,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,4,0.82,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,4,0.82,0.0,0.0,0.0,0.0
