SOURCE,SOURCE_BRO,TARGET,TARGET_BRO,MODE,EPOCHS,ITER,SIZE,seconds,sourcecpu,sourcemem,targetcpu,targetmem
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,32.9,13.910000000000002,144675.7142857143,18.286785714285713,75029.14285714286
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,32.79,13.165714285714287,149626.57142857142,18.286785714285713,75029.14285714286
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,32.89,13.898571428571431,340989.28571428574,18.516551724137937,82422.4827586207
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,32.74,13.187857142857144,342704.85714285716,18.516551724137937,82422.4827586207
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.18,16.647586206896552,490689.9310344828,17.859655172413795,85863.58620689655
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.0,15.641034482758618,492071.3103448276,17.859655172413795,85863.58620689655
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.25,18.354137931034487,503817.1034482759,17.53620689655172,86164.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.09,17.406896551724138,505498.8965517241,17.53620689655172,86164.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.21,18.407241379310342,507740.6896551724,17.19533333333333,86164.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.06,17.572413793103447,507501.6551724138,17.19533333333333,86164.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.19,18.94689655172414,509088.0,16.751379310344827,86164.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.1,17.89137931034483,508129.7931034483,16.751379310344827,86164.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.27,18.863448275862073,509352.0,16.956999999999997,86164.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.09,17.96689655172414,508148.0,16.956999999999997,86164.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.28,19.04068965517241,509352.0,17.169310344827586,86164.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.09,18.134137931034488,508148.0,17.169310344827586,86164.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.27,19.116551724137935,509352.0,16.95133333333333,86164.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.11,18.096896551724143,508148.0,16.95133333333333,86164.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.28,19.160000000000004,509352.0,17.05275862068965,86164.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.08,18.324482758620693,508311.8620689655,17.05275862068965,86164.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.38,19.33206896551724,509352.0,16.91033333333333,86164.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.07,18.38,508412.0,16.91033333333333,86164.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.27,19.44793103448276,509352.0,16.839333333333332,86164.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.12,18.21758620689655,508412.0,16.839333333333332,86164.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.29,19.33655172413793,509352.0,16.93,86164.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.14,18.242413793103452,508436.275862069,16.93,86164.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.3,19.38586206896552,509352.0,16.792333333333332,86164.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.1,18.00896551724138,508456.0,16.792333333333332,86164.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.23,19.58586206896552,509352.0,17.019333333333332,86164.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.11,17.43448275862069,508456.0,17.019333333333332,86164.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.25,19.666206896551724,509352.0,16.70206896551724,86236.8275862069
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.11,17.95551724137931,508528.8275862069,16.70206896551724,86236.8275862069
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.26,19.502068965517243,509352.0,16.24333333333333,86424.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.14,17.694137931034483,508588.0,16.24333333333333,86424.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.24,19.78103448275862,509352.0,15.826666666666664,86424.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.05,17.248965517241377,508588.0,15.826666666666664,86424.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.25,20.016551724137937,509352.0,16.19,86424.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.04,17.685862068965516,508656.275862069,16.19,86424.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.21,19.93241379310345,509352.0,16.951,86424.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.12,17.343793103448274,508720.0,16.951,86424.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.24,19.75689655172414,509352.0,16.95633333333333,86424.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.1,16.815862068965515,508720.0,16.95633333333333,86424.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.24,19.301724137931036,509352.0,16.609999999999996,86424.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.07,16.53931034482758,508720.0,16.609999999999996,86424.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.25,19.610000000000007,509352.0,16.393793103448274,86424.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.11,16.546551724137927,508720.0,16.393793103448274,86424.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.3,19.673448275862075,509352.0,16.349333333333334,86424.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.03,16.551724137931032,508720.0,16.349333333333334,86424.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.25,19.858275862068968,509352.0,16.358275862068965,86424.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.06,16.641034482758617,508720.0,16.358275862068965,86424.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.28,20.02896551724138,509352.0,16.301034482758617,86424.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.08,16.684137931034478,508720.0,16.301034482758617,86424.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.3,19.6996551724138,509352.0,16.096999999999998,86424.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.13,16.538275862068964,508720.0,16.096999999999998,86424.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.27,19.500689655172412,509352.0,16.499655172413792,86424.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.16,16.549310344827582,508720.0,16.499655172413792,86424.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.31,20.28551724137931,509352.0,15.854333333333331,86424.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.13,16.653103448275857,508720.0,15.854333333333331,86424.0
10.0.0.1,True,10.0.0.2,True,seq,100,6000,4,33.32,20.154827586206896,509352.0,15.835999999999997,86424.0
10.0.0.3,True,10.0.0.2,True,seq,100,6000,4,33.09,16.383103448275858,508720.0,15.835999999999997,86424.0
